Gene start (bp),Gene end (bp),Gene name,Transcript start (bp),Transcript end (bp)
7956435,7959574,DEFB134,7956435,7958820
38149336,38220924,SRPX,38149339,38220871
38149336,38220924,SRPX,38149351,38160098
38149336,38220924,SRPX,38149631,38154581
38149336,38220924,SRPX,38149336,38220924
38149336,38220924,SRPX,38149336,38220924
38149336,38220924,SRPX,38149336,38220924
32124877,32470882,GAREM1,32124877,32287095
32124877,32470882,GAREM1,32263522,32470484
32124877,32470882,GAREM1,32263522,32470882
32124877,32470882,GAREM1,32287876,32331670
5533628,5535889,,5533628,5535889
23489416,23489973,,23489416,23489973
7968158,7970427,DEFB135,7968158,7970427
45607939,45631284,WFDC9,45607939,45631284
37641832,37658377,PDXP-DT,37641832,37658377
4655427,4682722,LINC00705,4655427,4662419
4655427,4682722,LINC00705,4656058,4682403
4655427,4682722,LINC00705,4656159,4662419
4655427,4682722,LINC00705,4659979,4662419
4655427,4682722,LINC00705,4655570,4676979
4655427,4682722,LINC00705,4655560,4676981
4655427,4682722,LINC00705,4655469,4679612
4655427,4682722,LINC00705,4655463,4682722
4655427,4682722,LINC00705,4655764,4676980
7978152,7978814,DEFB136,7978152,7978814
39960397,39964718,,39960397,39964718
49853844,49890080,ZBED4,49853844,49890080
8002008,8006300,,8002008,8006300
32449755,32453607,,32449755,32453607
8011487,8016729,,8011487,8016729
23346941,23351486,NXT1-AS1,23346941,23351486
8019559,8024165,OR7E161P,8019559,8024165
8019559,8024165,OR7E161P,8023199,8024165
40004216,40011323,LINC01370,40004477,40008245
40004216,40011323,LINC01370,40004216,40010114
40004216,40011323,LINC01370,40004363,40011323
40004216,40011323,LINC01370,40004280,40008525
40004216,40011323,LINC01370,40004359,40009332
40004216,40011323,LINC01370,40004364,40011323
40004216,40011323,LINC01370,40004318,40008529
40004216,40011323,LINC01370,40005785,40008524
40004216,40011323,LINC01370,40004352,40009331
40004216,40011323,LINC01370,40004432,40011319
36560870,36562915,,36560870,36562915
2150480,2169460,,2166332,2169460
2150480,2169460,,2150480,2169423
8055913,8056933,,8055913,8056933
8084702,8110299,,8084702,8110299
8084702,8110299,,8084702,8110299
5207169,5207742,ARL4AP3,5207169,5207742
44881162,45010005,PHF21B,44881162,45008993
44881162,45010005,PHF21B,44881162,45010005
44881162,45010005,PHF21B,44881165,45009649
44881162,45010005,PHF21B,44889773,45009999
44881162,45010005,PHF21B,44913916,45008986
44881162,45010005,PHF21B,44916321,45009321
44881162,45010005,PHF21B,44916455,44969083
44881162,45010005,PHF21B,44916595,45009592
44881162,45010005,PHF21B,44968988,44971470
44881162,45010005,PHF21B,44989122,45009547
44881162,45010005,PHF21B,45008153,45009612
44881162,45010005,PHF21B,44881162,45008993
60794613,60794916,HMGN1P31,60794613,60794916
1526637,1556984,ADARB2-AS1,1526637,1556984
1526637,1556984,ADARB2-AS1,1526763,1535673
5895745,6108382,,6025091,6082455
5895745,6108382,,5895745,6108382
8106433,8106670,,8106433,8106670
8113504,8150080,FDFT1,8113504,8150080
8113504,8150080,FDFT1,8113504,8150080
26008791,26010531,,26008791,26010531
59778572,59778989,GLUD1P4,59778572,59778989
5393101,5404828,TUBAL3,5393101,5404828
5393101,5404828,TUBAL3,5393269,5404828
62245810,62247412,,62245810,62247412
28824652,28824826,,28824652,28824826
14680604,14681106,VN1R74P,14680604,14681106
8150253,8154895,,8150253,8151123
8150253,8154895,,8150309,8154895
36777447,36863538,SOGA1,36777447,36863538
36777447,36863538,SOGA1,36777449,36859873
36777447,36863538,SOGA1,36783782,36816281
36777447,36863538,SOGA1,36828597,36839402
59700523,59700946,,59700523,59700946
56137573,56150102,,56137624,56143234
56137573,56150102,,56137573,56150102
56137573,56150102,,56137616,56143221
56137573,56150102,,56137658,56143219
56137573,56150102,,56137573,56150102
8162440,8162821,SUB1P1,8162440,8162821
8166558,8166788,,8166558,8166788
8166558,8166788,,8166558,8166788
7842262,7844143,VCX,7842262,7844143
7842262,7844143,VCX,7843088,7844016
7842262,7844143,VCX,7842262,7844143
39334872,39335672,RPL7AP66,39334872,39335672
8190710,8191399,,8190710,8191399
8190710,8191399,,8190710,8191399
50967991,50988121,ELAC1,50967991,50986946
50967991,50988121,ELAC1,50968040,50988121
50967991,50988121,ELAC1,50968045,50969866
50967991,50988121,ELAC1,50968048,50984838
8192811,8275840,GATA4,8192811,8248612
8192811,8275840,GATA4,8192813,8275840
8192811,8275840,GATA4,8193682,8244503
8192811,8275840,GATA4,8194048,8196320
8192811,8275840,GATA4,8194291,8244583
8192811,8275840,GATA4,8195731,8248665
8192811,8275840,GATA4,8244154,8248594
8192811,8275840,GATA4,8244435,8260177
8192811,8275840,GATA4,8244456,8275839
6774307,6779180,LINC00706,6774307,6779180
3911889,3935817,LINC02660,3912027,3935808
3911889,3935817,LINC02660,3934519,3935813
3911889,3935817,LINC02660,3911889,3935817
3911889,3935817,LINC02660,3911978,3935812
3911889,3935817,LINC02660,3912023,3935812
3911889,3935817,LINC02660,3912023,3935812
5215408,5217014,,5215408,5217014
806914,931705,LARP4B,806914,815010
806914,931705,LARP4B,809497,931705
806914,931705,LARP4B,811806,820930
806914,931705,LARP4B,812506,825244
806914,931705,LARP4B,814442,817846
806914,931705,LARP4B,814442,817846
806914,931705,LARP4B,814762,815715
806914,931705,LARP4B,863743,931500
806914,931705,LARP4B,863779,931624
806914,931705,LARP4B,864154,931476
806914,931705,LARP4B,864241,903515
67516546,67899619,DSEL-AS1,67516546,67899619
62418318,62418576,,62418318,62418576
24489375,24491080,,24489375,24491080
26952201,26952558,ATP6V1E1P2,26952201,26952558
320990,321851,LINC00685,320990,321851
20443326,20492349,,20443326,20492349
45983536,46072272,PSTPIP2,45983536,46072257
45983536,46072272,PSTPIP2,45983536,46072260
45983536,46072272,PSTPIP2,45984233,46040287
45983536,46072272,PSTPIP2,45991936,45993974
45983536,46072272,PSTPIP2,45999459,46016225
45983536,46072272,PSTPIP2,46010760,46072272
18892298,18984114,PHKA2,18892298,18984114
18892298,18984114,PHKA2,18892972,18896634
18892298,18984114,PHKA2,18892973,18898169
18892298,18984114,PHKA2,18893448,18895242
18892298,18984114,PHKA2,18894082,18901603
18892298,18984114,PHKA2,18895146,18906802
18892298,18984114,PHKA2,18900679,18905815
18892298,18984114,PHKA2,18924164,18926480
143382686,143382800,MIR6892,143382686,143382800
29339566,29339869,,29339566,29339869
106773623,106774279,,106773623,106774279
143390289,143408856,EPHA1,143390289,143391391
143390289,143408856,EPHA1,143391129,143408856
143390289,143408856,EPHA1,143391411,143408805
143390289,143408856,EPHA1,143394210,143395601
143390289,143408856,EPHA1,143394807,143396681
143390289,143408856,EPHA1,143397481,143398712
143390289,143408856,EPHA1,143400826,143407650
18206570,18207466,,18206570,18207466
108596152,109208005,MYO16,108596152,109207997
108596152,109208005,MYO16,108596182,109048982
108596152,109208005,MYO16,108629611,109208005
108596152,109208005,MYO16,108779542,108785740
108596152,109208005,MYO16,108793580,109056057
108596152,109208005,MYO16,108855296,108888477
44619522,44652233,ADA,44619522,44626491
44619522,44652233,ADA,44619522,44651699
44619522,44652233,ADA,44619579,44651681
44619522,44652233,ADA,44619810,44651691
44619522,44652233,ADA,44619810,44651691
44619522,44652233,ADA,44619810,44651691
44619522,44652233,ADA,44626323,44651661
44619522,44652233,ADA,44626517,44652114
44619522,44652233,ADA,44636071,44652233
207821288,208025527,PLEKHM3,207821288,208025527
207821288,208025527,PLEKHM3,207821290,207822769
207821288,208025527,PLEKHM3,207851238,207977450
207821288,208025527,PLEKHM3,207900041,208025498
47285725,47594550,MIR4527HG,47285725,47574733
47285725,47594550,MIR4527HG,47285725,47594550
47285725,47594550,MIR4527HG,47574596,47587589
30046276,30047193,CNN2P1,30046276,30047193
44651835,44652379,ANP32BP2,44651835,44652379
61957273,61958014,RPIAP1,61957273,61958014
36335421,36343530,,36335421,36343530
60294136,60301317,,60294136,60301118
60294136,60301317,,60294159,60301317
48448890,48451217,,48448890,48451217
208019638,208019741,RNU6-360P,208019638,208019741
8472719,8472952,,8472719,8472952
208031383,208031953,RPL9P14,208031383,208031953
6197612,6202693,,6197612,6202693
46244011,46250311,CDPF1,46244011,46248285
46244011,46250311,CDPF1,46244013,46250293
46244011,46250311,CDPF1,46244021,46250289
46244011,46250311,CDPF1,46244051,46248285
46244011,46250311,CDPF1,46244623,46250294
46244011,46250311,CDPF1,46244909,46250311
8051541,8053084,,8051541,8053084
208054161,208054258,RNA5SP116,208054161,208054258
16123565,16153518,GRPR,16123565,16153518
208057248,208057745,RPL12P17,208057248,208057745
1177313,1737525,ADARB2,1177313,1737525
1177313,1737525,ADARB2,1182134,1200360
1177313,1737525,ADARB2,1182845,1186566
1177313,1737525,ADARB2,1183043,1188246
1177313,1737525,ADARB2,1183151,1200385
1177313,1737525,ADARB2,1199446,1200371
1177313,1737525,ADARB2,1215676,1240530
208114374,208118652,CRYGEP,208114374,208118652
208114374,208118652,CRYGEP,208114458,208118649
48026672,48410752,ZBTB7C,48026673,48137361
48026672,48410752,ZBTB7C,48026673,48165566
48026672,48410752,ZBTB7C,48026673,48165566
48026672,48410752,ZBTB7C,48026672,48409383
48026672,48410752,ZBTB7C,48040908,48165331
48026672,48410752,ZBTB7C,48041033,48338391
48026672,48410752,ZBTB7C,48041033,48338391
48026672,48410752,ZBTB7C,48041033,48338391
48026672,48410752,ZBTB7C,48041033,48338391
48026672,48410752,ZBTB7C,48041033,48338391
48026672,48410752,ZBTB7C,48041033,48409292
48026672,48410752,ZBTB7C,48041033,48409292
48026672,48410752,ZBTB7C,48041033,48409292
48026672,48410752,ZBTB7C,48041033,48409292
48026672,48410752,ZBTB7C,48041033,48409292
48026672,48410752,ZBTB7C,48041033,48409292
48026672,48410752,ZBTB7C,48041033,48409292
48026672,48410752,ZBTB7C,48041052,48203601
48026672,48410752,ZBTB7C,48041052,48375586
48026672,48410752,ZBTB7C,48041052,48375608
48026672,48410752,ZBTB7C,48041052,48375625
48026672,48410752,ZBTB7C,48041052,48410752
48026672,48410752,ZBTB7C,48041063,48375564
48026672,48410752,ZBTB7C,48041063,48375564
48026672,48410752,ZBTB7C,48041063,48375564
48026672,48410752,ZBTB7C,48041063,48375564
48026672,48410752,ZBTB7C,48041063,48375564
48026672,48410752,ZBTB7C,48041063,48375564
8304852,8309394,,8304852,8309394
8388152,8400340,,8388152,8400340
8388152,8400340,,8392808,8394364
8388152,8400340,,8394808,8396578
20311838,20317783,,20311838,20317783
208127748,208130665,CRYGD,208127748,208130665
18675909,18827921,PPEF1,18675909,18697909
18675909,18827921,PPEF1,18690913,18827921
18675909,18827921,PPEF1,18700051,18749952
18675909,18827921,PPEF1,18700051,18749955
18675909,18827921,PPEF1,18707654,18761576
18675909,18827921,PPEF1,18707658,18789200
18675909,18827921,PPEF1,18730164,18827660
18675909,18827921,PPEF1,18818095,18827547
18675909,18827921,PPEF1,18690926,18827917
8388247,8409603,,8388247,8409603
8388247,8409603,,8388247,8409603
208134278,208135969,CRYGC,208134278,208135969
8471756,8473621,,8471756,8473621
8508887,8509267,,8508887,8509267
8508887,8509267,,8508887,8509267
18506700,18515918,NOS2P2,18506700,18515918
18506700,18515918,NOS2P2,18507172,18512887
8514640,8583179,FAM167A-AS1,8514640,8559109
8514640,8583179,FAM167A-AS1,8514641,8583179
8514640,8583179,FAM167A-AS1,8518297,8562809
8514640,8583179,FAM167A-AS1,8551913,8572709
5346651,5347277,,5346651,5347277
8400860,8461863,,8400860,8461863
6779549,6879450,LINC00707,6779549,6840818
6779549,6879450,LINC00707,6779570,6842906
6779549,6879450,LINC00707,6779580,6840873
6779549,6879450,LINC00707,6779586,6781811
6779549,6879450,LINC00707,6779588,6834510
6779549,6879450,LINC00707,6779588,6841158
6779549,6879450,LINC00707,6779606,6790256
6779549,6879450,LINC00707,6794740,6841238
6779549,6879450,LINC00707,6872944,6879450
143407813,143523449,EPHA1-AS1,143407813,143523449
143407813,143523449,EPHA1-AS1,143407833,143415830
8528676,8528930,,8528676,8528930
8528676,8528930,,8528676,8528930
8560716,8560822,RNU6-1084P,8560716,8560822
8571907,8572187,RN7SL293P,8571907,8572187
8583129,8611938,TDH,8583129,8611938
8583129,8611938,TDH,8585493,8603935
8583129,8611938,TDH,8585780,8587797
8583129,8611938,TDH,8585859,8595461
8583129,8611938,TDH,8585859,8595461
45284949,45295874,UPK3A,45284949,45295874
45284949,45295874,UPK3A,45284991,45295822
143437034,143437973,TAS2R62P,143437034,143437973
143443453,143444409,TAS2R60,143443453,143444409
38537758,38538458,RPS3P2,38537758,38538458
143477873,143478796,TAS2R41,143477873,143478796
43894720,43895468,LINC01728,43894720,43895468
24931840,24932983,,24931840,24932983
143488462,143489402,OR2R1P,143488462,143489402
30281837,30282954,,30281837,30282954
34741401,34807447,,34741401,34807447
4786629,4848062,AKR1E2,4786629,4837583
4786629,4848062,AKR1E2,4786709,4839819
4786629,4848062,AKR1E2,4826177,4848062
4786629,4848062,AKR1E2,4826207,4848062
4786629,4848062,AKR1E2,4826234,4848062
4786629,4848062,AKR1E2,4826255,4846199
4786629,4848062,AKR1E2,4826286,4837566
4786629,4848062,AKR1E2,4826296,4847296
4786629,4848062,AKR1E2,4826296,4847745
4786629,4848062,AKR1E2,4826296,4847745
4786629,4848062,AKR1E2,4833355,4845811
4786629,4848062,AKR1E2,4833400,4841857
4786629,4848062,AKR1E2,4839784,4847345
143509256,143519469,OR10AC1,143509256,143519469
38748460,38772520,ACTR5,38748460,38772520
143532749,143533164,,143532749,143533164
143545186,143546735,PAICSP5,143545186,143546735
143571801,143574387,CTAGE15,143571801,143574387
143679585,143679687,RNU6-267P,143679585,143679687
143680046,143682653,CTAGE6,143680046,143682653
39875289,39876108,UQCRFS1P1,39875289,39876108
143686747,143761873,,143686747,143761645
143686747,143761873,,143734510,143761626
143686747,143761873,,143736327,143761646
143686747,143761873,,143736906,143761873
143686747,143761873,,143736907,143761648
143686747,143761873,,143736909,143761148
143686747,143761873,,143738273,143761610
143686747,143761873,,143738397,143761165
143686747,143761873,,143758180,143758804
47461299,47487111,LINC01644,47461299,47487111
47461299,47487111,LINC01644,47463467,47487088
47345569,47373541,,47345569,47373541
13909574,13980437,ANKRD20A11P,13909574,13935655
13909574,13980437,ANKRD20A11P,13909574,13979911
13909574,13980437,ANKRD20A11P,13937946,13970003
13909574,13980437,ANKRD20A11P,13939374,13962785
13909574,13980437,ANKRD20A11P,13943744,13972129
13909574,13980437,ANKRD20A11P,13943769,13980437
18642782,18643634,DUXAP7,18642782,18643634
18838709,18839452,BLOC1S6P1,18838709,18839452
18341216,18341346,TMSB10P2,18341216,18341346
9818239,9819469,EIF5P1,9818239,9819469
39312882,39320389,RPL3,39312882,39318614
39312882,39320389,RPL3,39312884,39313705
39312882,39320389,RPL3,39312884,39313729
39312882,39320389,RPL3,39312882,39319623
39312882,39320389,RPL3,39312884,39320389
39312882,39320389,RPL3,39312887,39314965
39312882,39320389,RPL3,39313707,39319623
39312882,39320389,RPL3,39313931,39315486
39312882,39320389,RPL3,39314150,39315429
39312882,39320389,RPL3,39314700,39319111
39312882,39320389,RPL3,39315362,39317068
39312882,39320389,RPL3,39315369,39319595
39312882,39320389,RPL3,39315552,39319623
39312882,39320389,RPL3,39317051,39319649
39312882,39320389,RPL3,39317396,39319592
39312882,39320389,RPL3,39317855,39319623
39312882,39320389,RPL3,39318112,39319577
39312882,39320389,RPL3,39318400,39319625
18162931,18220886,BEND2,18162931,18220886
18162931,18220886,BEND2,18170975,18220750
143721228,143721653,,143721228,143721653
143725664,143742911,TCAF2P1,143725664,143742911
143725664,143742911,TCAF2P1,143735309,143739813
38419638,38435409,SNHG17,38419638,38435375
38419638,38435409,SNHG17,38419674,38435358
38419638,38435409,SNHG17,38419809,38435377
38419638,38435409,SNHG17,38420575,38422988
38419638,38435409,SNHG17,38420587,38427444
38419638,38435409,SNHG17,38420587,38435377
38419638,38435409,SNHG17,38420587,38435378
38419638,38435409,SNHG17,38420588,38422984
38419638,38435409,SNHG17,38420588,38422984
38419638,38435409,SNHG17,38420588,38424203
38419638,38435409,SNHG17,38420588,38426077
38419638,38435409,SNHG17,38420588,38426988
38419638,38435409,SNHG17,38420588,38427289
38419638,38435409,SNHG17,38420588,38427444
38419638,38435409,SNHG17,38420588,38427843
38419638,38435409,SNHG17,38420588,38427884
38419638,38435409,SNHG17,38420588,38428224
38419638,38435409,SNHG17,38420588,38434000
38419638,38435409,SNHG17,38420588,38435344
38419638,38435409,SNHG17,38420588,38435346
38419638,38435409,SNHG17,38420588,38435352
38419638,38435409,SNHG17,38420588,38435356
38419638,38435409,SNHG17,38420588,38435377
38419638,38435409,SNHG17,38420588,38435377
38419638,38435409,SNHG17,38420588,38435377
38419638,38435409,SNHG17,38420588,38435377
38419638,38435409,SNHG17,38420588,38435377
38419638,38435409,SNHG17,38420588,38435381
38419638,38435409,SNHG17,38420588,38435387
38419638,38435409,SNHG17,38420589,38430075
38419638,38435409,SNHG17,38420589,38431336
38419638,38435409,SNHG17,38420589,38435374
38419638,38435409,SNHG17,38420590,38423566
38419638,38435409,SNHG17,38420590,38430213
38419638,38435409,SNHG17,38420590,38432480
38419638,38435409,SNHG17,38420590,38435352
38419638,38435409,SNHG17,38420590,38435352
38419638,38435409,SNHG17,38420590,38435377
38419638,38435409,SNHG17,38420591,38427444
38419638,38435409,SNHG17,38420591,38427924
38419638,38435409,SNHG17,38420591,38430075
38419638,38435409,SNHG17,38420591,38433040
38419638,38435409,SNHG17,38420591,38435338
38419638,38435409,SNHG17,38420591,38435374
38419638,38435409,SNHG17,38420592,38421392
38419638,38435409,SNHG17,38420592,38422984
38419638,38435409,SNHG17,38420592,38422984
38419638,38435409,SNHG17,38420592,38424203
38419638,38435409,SNHG17,38420592,38425937
38419638,38435409,SNHG17,38420592,38427444
38419638,38435409,SNHG17,38420592,38427444
38419638,38435409,SNHG17,38420592,38427444
38419638,38435409,SNHG17,38420592,38427676
38419638,38435409,SNHG17,38420592,38429288
38419638,38435409,SNHG17,38420592,38429330
38419638,38435409,SNHG17,38420592,38429998
38419638,38435409,SNHG17,38420592,38430040
38419638,38435409,SNHG17,38420592,38431044
38419638,38435409,SNHG17,38420592,38431066
38419638,38435409,SNHG17,38420592,38434000
38419638,38435409,SNHG17,38420592,38435319
38419638,38435409,SNHG17,38420592,38435328
38419638,38435409,SNHG17,38420592,38435334
38419638,38435409,SNHG17,38420592,38435352
38419638,38435409,SNHG17,38420592,38435352
38419638,38435409,SNHG17,38420592,38435352
38419638,38435409,SNHG17,38420592,38435352
38419638,38435409,SNHG17,38420592,38435352
38419638,38435409,SNHG17,38420592,38435352
38419638,38435409,SNHG17,38420592,38435356
38419638,38435409,SNHG17,38420592,38435358
38419638,38435409,SNHG17,38420592,38435358
38419638,38435409,SNHG17,38420593,38427444
38419638,38435409,SNHG17,38420593,38435273
38419638,38435409,SNHG17,38420593,38435348
38419638,38435409,SNHG17,38420594,38424203
38419638,38435409,SNHG17,38420594,38427442
38419638,38435409,SNHG17,38420594,38428369
38419638,38435409,SNHG17,38420594,38429805
38419638,38435409,SNHG17,38420594,38435313
38419638,38435409,SNHG17,38420594,38435334
38419638,38435409,SNHG17,38420594,38435356
38419638,38435409,SNHG17,38420594,38435409
38419638,38435409,SNHG17,38420596,38427818
38419638,38435409,SNHG17,38420596,38431113
38419638,38435409,SNHG17,38420596,38435345
38419638,38435409,SNHG17,38420603,38435383
38419638,38435409,SNHG17,38422192,38435353
38419638,38435409,SNHG17,38430780,38435334
8619367,8620687,SLC35G5,8619367,8620687
66303871,66323561,PCDH9-AS1,66303871,66323561
143860031,143861144,OR2F2,143860031,143861144
106425773,106426122,RPL35P9,106425773,106426122
8626149,8635719,,8626149,8635719
143879710,143922178,OR2F1,143879710,143889226
143879710,143922178,OR2F1,143879877,143889226
143879710,143922178,OR2F1,143883829,143922178
143879710,143922178,OR2F1,143884793,143885881
1660315,1660380,MIR3649,1660315,1660380
33584687,33931607,,33584687,33931607
8628793,8666765,MTMR9,8628793,8666765
8628793,8666765,MTMR9,8628793,8666765
110148963,110307157,COL4A1,110148963,110307157
110148963,110307157,COL4A1,110149065,110165179
110148963,110307157,COL4A1,110149111,110169660
110148963,110307157,COL4A1,110161018,110163490
110148963,110307157,COL4A1,110161958,110163558
110148963,110307157,COL4A1,110178867,110307157
110148963,110307157,COL4A1,110190741,110307131
110148963,110307157,COL4A1,110197537,110242697
110148963,110307157,COL4A1,110204649,110212436
110148963,110307157,COL4A1,110205497,110298899
110148963,110307157,COL4A1,110209791,110242697
110148963,110307157,COL4A1,110209889,110242697
110148963,110307157,COL4A1,110209889,110242697
110148963,110307157,COL4A1,110211649,110212586
110148963,110307157,COL4A1,110235701,110242698
110148963,110307157,COL4A1,110235707,110242698
110148963,110307157,COL4A1,110237308,110242694
110148963,110307157,COL4A1,110240818,110242697
1688574,1788674,ADIPOR2,1688574,1772924
1688574,1788674,ADIPOR2,1691070,1788674
1688574,1788674,ADIPOR2,1691163,1731056
1688574,1788674,ADIPOR2,1760729,1777915
1688574,1788674,ADIPOR2,1772714,1780518
1688574,1788674,ADIPOR2,1772923,1778607
1688574,1788674,ADIPOR2,1780148,1780967
8666513,8668100,,8666513,8668100
8666513,8668100,,8666513,8668081
13936993,13937325,RHOT1P2,13936993,13937325
8669080,8670217,,8669080,8670217
8683726,8703973,LINC00529,8683726,8703973
14961309,14964233,,14961309,14964233
143903987,143905091,CAPZA1P5,143903987,143905091
8694985,8695567,RPL19P13,8694985,8695567
13516107,13574999,LINC01674,13546033,13558461
13516107,13574999,LINC01674,13516112,13574999
13516107,13574999,LINC01674,13516107,13574999
13516107,13574999,LINC01674,13516112,13574999
143905771,143906686,OR2Q1P,143905771,143906686
14873421,14922327,MOSPD2,14873421,14922327
14873421,14922327,MOSPD2,14873455,14921756
14873421,14922327,MOSPD2,14873491,14893353
14873421,14922327,MOSPD2,14873529,14874454
14873421,14922327,MOSPD2,14885291,14920002
14873421,14922327,MOSPD2,14908922,14915588
8747990,8748696,,8747990,8748696
143910008,143911517,SLC16A1P1,143910008,143911517
9810501,9810848,,9810501,9810848
143925186,143933659,OR6B1,143925186,143933659
143925186,143933659,OR6B1,143928795,143929849
36295173,36295702,SRSF9P1,36295173,36295702
8750316,8756526,,8750316,8756526
8750316,8756526,,8750316,8756526
8680538,8680934,,8680538,8680934
9913117,9914846,,9913117,9914713
9913117,9914846,,9913361,9914846
8776061,8776580,,8776061,8776580
8813027,8814736,,8813027,8814736
8825581,8828264,,8825581,8828264
8841928,8843866,,8841928,8843866
38380027,38661780,ERG,38380027,38498442
38380027,38661780,ERG,38380027,38498442
38380027,38661780,ERG,38380027,38584900
38380027,38661780,ERG,38380027,38584945
38380027,38661780,ERG,38380027,38661694
38380027,38661780,ERG,38380027,38661694
38380027,38661780,ERG,38380036,38498477
38380027,38661780,ERG,38383126,38498476
38380027,38661780,ERG,38383291,38660667
38380027,38661780,ERG,38391659,38498456
38380027,38661780,ERG,38395370,38445621
38380027,38661780,ERG,38400072,38661694
38380027,38661780,ERG,38403604,38449105
38380027,38661780,ERG,38470775,38661694
38380027,38661780,ERG,38380030,38661780
38380027,38661780,ERG,38400008,38661780
8844965,8846978,,8844965,8846978
8884661,8889109,,8884661,8889109
8916436,8916532,MIR598,8916436,8916532
9092550,9095901,,9092550,9095901
1695830,1698044,,1695830,1698044
9112146,9226509,PINX1,9112146,9226509
1741197,1747099,,1741197,1747099
1757231,1758011,RPS4XP14,1757231,1758011
9126419,9126489,MIR1322,9126419,9126489
9178905,9222594,,9178905,9222450
9178905,9222594,,9180423,9222330
9178905,9222594,,9187208,9222594
9221397,9228140,SOX7,9221397,9228140
1791963,1918666,CACNA2D4,1791963,1918652
1791963,1918666,CACNA2D4,1791963,1854037
1791963,1918666,CACNA2D4,1791963,1918666
1791963,1918666,CACNA2D4,1792773,1918637
1791963,1918666,CACNA2D4,1792802,1811738
1791963,1918666,CACNA2D4,1793043,1811791
1791963,1918666,CACNA2D4,1793169,1918531
1791963,1918666,CACNA2D4,1793508,1811760
1791963,1918666,CACNA2D4,1793523,1797660
1791963,1918666,CACNA2D4,1793566,1915227
1791963,1918666,CACNA2D4,1793603,1811760
1791963,1918666,CACNA2D4,1793614,1811720
1791963,1918666,CACNA2D4,1795060,1797557
1791963,1918666,CACNA2D4,1795109,1918473
1791963,1918666,CACNA2D4,1795114,1795949
1791963,1918666,CACNA2D4,1795143,1915227
1791963,1918666,CACNA2D4,1795336,1797524
1791963,1918666,CACNA2D4,1795673,1811740
1791963,1918666,CACNA2D4,1799676,1811727
1791963,1918666,CACNA2D4,1800007,1800756
1791963,1918666,CACNA2D4,1800180,1811761
1791963,1918666,CACNA2D4,1800207,1811770
1791963,1918666,CACNA2D4,1800228,1811798
1791963,1918666,CACNA2D4,1809379,1918546
1791963,1918666,CACNA2D4,1844425,1874627
1791963,1918666,CACNA2D4,1884030,1884879
23075758,23076767,FAM3C2P,23075758,23076767
9251333,9279211,C8orf74,9251333,9279211
9251333,9279211,C8orf74,9251333,9279178
9251333,9279211,C8orf74,9258957,9279168
9251333,9279211,C8orf74,9262172,9279186
9251333,9279211,C8orf74,9263444,9279186
9251333,9279211,C8orf74,9271929,9279186
9251333,9279211,C8orf74,9276090,9277277
17970197,18104644,LINC01456,17970197,18104644
36957913,36958139,,36957913,36958139
34147036,34147586,FTH1P14,34147036,34147586
15117437,15117768,RPL35AP37,15117437,15117768
18984291,19060329,,18984291,19057115
18984291,19060329,,18984425,19060329
18984291,19060329,,19050818,19052879
18984291,19060329,,19050835,19055716
27517771,27517881,RDXP2,27517771,27517881
4051726,4089013,,4051726,4089013
8259331,8268342,LINC00708,8259331,8260804
8259331,8268342,LINC00708,8259331,8268305
8259331,8268342,LINC00708,8259331,8268342
20149911,20267519,RPS6KA3,20149911,20266909
20149911,20267519,RPS6KA3,20153662,20266606
20149911,20267519,RPS6KA3,20153807,20266627
20149911,20267519,RPS6KA3,20154590,20267519
20149911,20267519,RPS6KA3,20154751,20266659
20149911,20267519,RPS6KA3,20154787,20265617
20149911,20267519,RPS6KA3,20154796,20267094
20149911,20267519,RPS6KA3,20154835,20218959
20149911,20267519,RPS6KA3,20154846,20234769
20149911,20267519,RPS6KA3,20154932,20267100
20149911,20267519,RPS6KA3,20154966,20267405
20149911,20267519,RPS6KA3,20154978,20267089
20149911,20267519,RPS6KA3,20155257,20267066
20149911,20267519,RPS6KA3,20155441,20172864
20149911,20267519,RPS6KA3,20203362,20218870
20149911,20267519,RPS6KA3,20204066,20266100
53480825,53581107,LINC01917,53480835,53568283
53480825,53581107,LINC01917,53480835,53581091
53480825,53581107,LINC01917,53579623,53581059
53480825,53581107,LINC01917,53579618,53581107
53480825,53581107,LINC01917,53577787,53581067
53480825,53581107,LINC01917,53579626,53581075
53480825,53581107,LINC01917,53579623,53581024
53480825,53581107,LINC01917,53480825,53581026
9265241,9265359,RNA5SP252,9265241,9265359
9284761,9284853,MIR4286,9284761,9284853
9397615,9426245,PRSS55,9397615,9426231
9397615,9426245,PRSS55,9406584,9422365
9397615,9426245,PRSS55,9412963,9426245
10058722,10063502,LINC02670,10058722,10063502
10365180,10366487,,10365180,10366487
9275833,9287057,LINC00709,9275833,9287057
15003975,15006352,,15003975,15006352
4201141,4243912,LINC00702,4201141,4243912
4201141,4243912,LINC00702,4235182,4243901
4201141,4243912,LINC00702,4234387,4243901
4201141,4243912,LINC00702,4242950,4243789
4201141,4243912,LINC00702,4242962,4243787
4201141,4243912,LINC00702,4234382,4243806
4201141,4243912,LINC00702,4239780,4243760
4201141,4243912,LINC00702,4242932,4243801
4201141,4243912,LINC00702,4205463,4243782
4201141,4243912,LINC00702,4241544,4243757
4201141,4243912,LINC00702,4241478,4243823
